flex1,flex2,flex3,flex4,flex5,label
1810,2028,1525,2100,2120,open_hand
1815,2032,1530,2110,2130,open_hand
1820,2035,1532,2120,2140,open_hand
1812,2030,1528,2105,2125,open_hand
1808,2025,1523,2098,2115,open_hand
1855,2075,1565,2190,2210,fist
1860,2080,1568,2200,2220,fist
1863,2082,1570,2195,2215,fist
1858,2078,1567,2185,2205,fist
1862,2081,1569,2198,2218,fist
1820,2050,1540,2140,2160,thumbs_up
1830,2060,1550,2155,2180,thumbs_up
1840,2070,1560,2180,2200,thumbs_up
1825,2055,1545,2130,2155,thumbs_up
1835,2065,1555,2160,2185,thumbs_up
1825,2030,1565,2185,2200,yes
1830,2028,1568,2190,2210,yes
1818,2035,1570,2175,2195,yes
1840,2040,1562,2180,2205,yes
1822,2032,1560,2170,2190,yes
1860,2065,1550,2150,2175,help
1855,2070,1545,2160,2180,help
1862,2068,1552,2145,2170,help
1858,2075,1548,2155,2190,help
1863,2078,1555,2165,2200,help
